id,Created date (UTC),Amount,Amount Refunded,Currency,Captured,Converted Amount,Converted Amount Refunded,Converted Currency,Decline Reason,Description,Fee,Refunded date (UTC),Statement Descriptor,Status,Seller Message,Taxes On Fee,Card ID,Customer ID,Customer Description,Customer Email,Invoice ID,Transfer,deviceName (metadata),locationId (metadata),deviceId (metadata),appBundleId (metadata),appVersion (metadata),appBuildNumber (metadata),osVersion (metadata),paymentRecordedBy (metadata),os (metadata),invoiceId (metadata),invoiceNumber (metadata)
ch_3RJx6pADru8LAtyC02DzzrK4,2025-05-01 13:25:07,4.00,0.00,usd,true,4.00,0.00,usd,,Payment for invoice 000227,0.16,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RJx6tADru8LAtyCzWe16Xb7,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RKrJoADru8LAtyCdSxKH1or,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,6813762e1e16231ac33008e2,000227
ch_3RJwj4ADru8LAtyC1SYgpjYr,2025-05-01 13:00:41,6.00,0.00,usd,true,6.00,0.00,usd,,Payment for invoice 000225,0.21,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RJwjFADru8LAtyCxpDKzYwf,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RKrJoADru8LAtyCdSxKH1or,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,6813706dd872905f6fc5bf85,000225
ch_3RJexSADru8LAtyC0PE4Cr3U,2025-04-30 18:02:16,4.00,0.00,usd,true,4.00,0.00,usd,,Payment for invoice 000224,0.16,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RJexYADru8LAtyCxxYsaH1T,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RJlZsADru8LAtyClMYRXahK,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,681265a1cb482b2f0ea6dfcb,000224
ch_3RJeHRADru8LAtyC07Y1DIYe,2025-04-30 17:18:50,1.00,0.00,usd,true,1.00,0.00,usd,,Payment for invoice 000223,0.08,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RJeHWADru8LAtyCxZsXVGhG,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RJlZsADru8LAtyClMYRXahK,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,68125b74cb482b661ea6dae2,000223
ch_3RJbI0ADru8LAtyC1WpHary1,2025-04-30 14:07:13,2.00,0.00,usd,true,2.00,0.00,usd,,Payment for invoice 000222,0.10,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RJbI5ADru8LAtyCHorYbLHj,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RJlZsADru8LAtyClMYRXahK,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,68122e8b1e1623403b2f9f17,000222
ch_3RJakyADru8LAtyC0mxaUVcd,2025-04-30 13:33:05,1.00,0.00,usd,true,1.00,0.00,usd,,Payment for invoice 000221,0.08,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RJal2ADru8LAtyCfxGhOIqr,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RJlZsADru8LAtyClMYRXahK,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,6812268bcb482b4180a6af8d,000221
ch_3RJaeuADru8LAtyC1RDWWez4,2025-04-30 13:26:49,4.00,0.00,usd,true,4.00,0.00,usd,,Payment for invoice 000220,0.16,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RJaezADru8LAtyCMqz41hTf,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RJlZsADru8LAtyClMYRXahK,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,68122513cb482b3031a6ab99,000220
ch_3RJaeQADru8LAtyC07a54wf6,2025-04-30 13:26:19,4.00,0.00,usd,true,4.00,0.00,usd,,Payment for invoice 000219,0.16,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RJaeUADru8LAtyCqqXb4ucq,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RJlZsADru8LAtyClMYRXahK,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,681224f51e1623f8582f8930,000219
ch_3RJabWADru8LAtyC1hxaYrzl,2025-04-30 13:23:19,2.00,0.00,usd,true,2.00,0.00,usd,,Payment for invoice 000218,0.10,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RJabbADru8LAtyCCtZylU7X,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RJlZsADru8LAtyClMYRXahK,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,68122441cb482b624da6a8c5,000218
ch_3RJJCaADru8LAtyC1i445fyr,2025-04-29 18:48:30,2.00,0.00,usd,true,2.00,0.00,usd,,Payment for invoice 000215,0.10,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RJJCkADru8LAtyCgKvOIpgg,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RJPDEADru8LAtyCX0Hn1oBD,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,68111ef3c1ec1c8378d1a084,000215
ch_3RJJ4wADru8LAtyC1ndLosDg,2025-04-29 18:40:35,3.00,0.00,usd,true,3.00,0.00,usd,,Payment for invoice 000213,0.13,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RJJ55ADru8LAtyCykXqu83x,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RJPDEADru8LAtyCX0Hn1oBD,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,68111d197122da0f0cc47d34,000213
ch_3RJIuDADru8LAtyC0a5b2DkY,2025-04-29 18:29:30,4.00,0.00,usd,true,4.00,0.00,usd,,Payment for invoice 000212,0.16,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RJIuMADru8LAtyCQa8uEQqv,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RJPDEADru8LAtyCX0Hn1oBD,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,68111a801e162361092f3bee,000212
ch_3RJIi8ADru8LAtyC0CiLnV67,2025-04-29 18:16:55,5.00,0.00,usd,true,5.00,0.00,usd,,Payment for invoice 000209,0.19,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RJIiBADru8LAtyCjQSbv3Ce,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RJPDEADru8LAtyCX0Hn1oBD,iPhone,DBM3y5pTClpRimE1VAVS,6bf6ac59-24f7-4936-a790-e312cdf4e3cd,com.gohighlevel.reviews,3.95.5,725,18.3.2,qsPJDfiXFPhwlZ0dV7o2,ios,68111793c1ec1cdca5d19ded,000209
ch_3RJHhiADru8LAtyC1YSSE9sM,2025-04-29 17:12:33,3.00,0.00,usd,true,3.00,0.00,usd,,Payment for invoice 000205,0.13,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RJHhtADru8LAtyCEQrnUQDI,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RJPDEADru8LAtyCX0Hn1oBD,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,68110875cb482bd0eaa65816,000205
ch_3RJHfTADru8LAtyC104Pa8qs,2025-04-29 17:10:10,1.00,0.00,usd,true,1.00,0.00,usd,,Payment for invoice 000204,0.08,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RJHfaADru8LAtyCbexHOvBk,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RJPDEADru8LAtyCX0Hn1oBD,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,681107ea1e1623c7b02f3610,000204
ch_3RJEqVADru8LAtyC0ZVWdZT1,2025-04-29 14:09:21,4.00,0.00,usd,true,4.00,0.00,usd,,Payment for invoice 000202,0.16,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RJEqaADru8LAtyCJqkZzmcU,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RJPDEADru8LAtyCX0Hn1oBD,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,6810dd8bcb482b0f40a649d9,000202
ch_3RIvVGADru8LAtyC10DZoFXn,2025-04-28 17:30:07,3.00,0.00,usd,true,3.00,0.00,usd,,Payment for invoice 000201,0.13,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RIvVLADru8LAtyCal6EyTzl,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RJ2ekADru8LAtyCvMT18QrZ,iPhone,DBM3y5pTClpRimE1VAVS,6bf6ac59-24f7-4936-a790-e312cdf4e3cd,com.gohighlevel.reviews,3.95.5,725,18.3.2,qsPJDfiXFPhwlZ0dV7o2,ios,680fbb193b462ffb997b17d4,000201
ch_3RIv8oADru8LAtyC09yTiFd2,2025-04-28 17:07:02,3.00,0.00,usd,true,3.00,0.00,usd,,Payment for invoice 000200,0.13,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RIv90ADru8LAtyCOP9kjexQ,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RJ2ekADru8LAtyCvMT18QrZ,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,680fb5a90b35e0d5057357c7,000200
ch_3RIsonADru8LAtyC1diTP0Sk,2025-04-28 14:38:09,2.00,0.00,usd,true,2.00,0.00,usd,,Payment for invoice 000199,0.10,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RIsovADru8LAtyCYYd0iUJt,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RJ2ekADru8LAtyCvMT18QrZ,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,680f92c81e162398722ec64c,000199
ch_3REwAuADru8LAtyC1yPxrWES,2025-04-17 17:24:37,4.00,0.00,usd,true,4.00,0.00,usd,,Payment for invoice 000197,0.16,,SPARTY BOX,Paid,Payment complete.,0.00,card_1REwAzADru8LAtyCleLluH30,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RFmSBADru8LAtyCktw6fUVl,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,6801394f537a5fbd21902006,000197
ch_3REw4sADru8LAtyC0BTatapM,2025-04-17 17:18:25,1.00,0.00,usd,true,1.00,0.00,usd,,Payment for invoice 000195,0.08,,SPARTY BOX,Paid,Payment complete.,0.00,card_1REw4zADru8LAtyCHFWUBmJo,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RFmSBADru8LAtyCktw6fUVl,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,680137d9537a5f66c9901f9c,000195
ch_3REw4OADru8LAtyC1D24hAcC,2025-04-17 17:17:54,4.00,0.00,usd,true,4.00,0.00,usd,,Payment for invoice 000194,0.16,,SPARTY BOX,Paid,Payment complete.,0.00,card_1REw4TADru8LAtyCaBQY34kK,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RFmSBADru8LAtyCktw6fUVl,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,680137b9537a5f63d9901f7b,000194
ch_3REvu0ADru8LAtyC03QUPjMR,2025-04-17 17:07:11,4.00,0.00,usd,true,4.00,0.00,usd,,Payment for invoice 000190,0.16,,SPARTY BOX,Paid,Payment complete.,0.00,card_1REvu7ADru8LAtyCGtzpjCxP,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RFmSBADru8LAtyCktw6fUVl,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,680135372144325e3a91528c,000190
ch_3REvgGADru8LAtyC1FRBCvBX,2025-04-17 16:52:57,4.00,0.00,usd,true,4.00,0.00,usd,,Payment for invoice 000187,0.16,,SPARTY BOX,Paid,Payment complete.,0.00,card_1REvgLADru8LAtyCmkHImqGU,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RFmSBADru8LAtyCktw6fUVl,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,680131e3537a5f5b0b901dfd,000187
ch_3REvbDADru8LAtyC0T7q7JHx,2025-04-17 16:47:44,4.00,0.00,usd,true,4.00,0.00,usd,,Payment for invoice 000184,0.16,,SPARTY BOX,Paid,Payment complete.,0.00,card_1REvbHADru8LAtyCZfLeA3Ik,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RFmSBADru8LAtyCktw6fUVl,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,680130aa2144323361915158,000184
ch_3REvXNADru8LAtyC0xlKyFkr,2025-04-17 16:44:04,1.00,0.00,usd,true,1.00,0.00,usd,,Payment for invoice 000183,0.08,,SPARTY BOX,Paid,Payment complete.,0.00,card_1REvXkADru8LAtyCb5bKvLx3,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RFmSBADru8LAtyCktw6fUVl,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,68012fab21443261b991512d,000183
ch_3REvKAADru8LAtyC0Yn9tZbn,2025-04-17 16:30:06,4.00,0.00,usd,true,4.00,0.00,usd,,Payment for invoice 000178,0.16,,SPARTY BOX,Paid,Payment complete.,0.00,card_1REvKEADru8LAtyCZlTKeLRK,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RFmSBADru8LAtyCktw6fUVl,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,68012c89214432c32b915065,000178
ch_3REvIWADru8LAtyC1CPdVj4e,2025-04-17 16:28:43,4.00,0.00,usd,true,4.00,0.00,usd,,Payment for invoice 000177,0.16,,SPARTY BOX,Paid,Payment complete.,0.00,card_1REvItADru8LAtyCVZO333ES,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RFmSBADru8LAtyCktw6fUVl,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,68012c232144325b2191504a,000177
ch_3REv9UADru8LAtyC1S6B5F7J,2025-04-17 16:19:04,4.00,0.00,usd,true,4.00,0.00,usd,,Payment for invoice 000174,0.16,,SPARTY BOX,Paid,Payment complete.,0.00,card_1REv9YADru8LAtyCpjhTIQAp,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RFmSBADru8LAtyCktw6fUVl,iPhone,DBM3y5pTClpRimE1VAVS,53d4698b-e5a4-4a33-bf79-97227b285be1,com.gohighlevel.reviews,3.95.5,725,18.3.1,KWgHgCxOyE8pjWo2Wk76,ios,680129f3dba7a849ed0db797,000174
ch_3RErfHADru8LAtyC1rcgEc9C,2025-04-17 12:35:41,4.00,0.00,usd,true,4.00,0.00,usd,,Payment for invoice 000170,0.16,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RErfNADru8LAtyCzAblvpV6,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RFmSBADru8LAtyCktw6fUVl,iPhone,DBM3y5pTClpRimE1VAVS,6bf6ac59-24f7-4936-a790-e312cdf4e3cd,com.gohighlevel.reviews,3.95.5,725,18.3.2,qsPJDfiXFPhwlZ0dV7o2,ios,6800f596dba7a84ca70da4fd,000170
ch_3REZnyADru8LAtyC1uKXt0o5,2025-04-16 17:31:30,3.00,0.00,usd,true,3.00,0.00,usd,,Payment for invoice 000168,0.13,,SPARTY BOX,Paid,Payment complete.,0.00,card_1REZo6ADru8LAtyCHyi8GD6O,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1REgwLADru8LAtyCJM6UpgFV,iPhone,DBM3y5pTClpRimE1VAVS,53d4698b-e5a4-4a33-bf79-97227b285be1,com.gohighlevel.reviews,3.95.5,725,18.3.1,KWgHgCxOyE8pjWo2Wk76,ios,67ffe9692433fa403909602c,000168
ch_3REZlLADru8LAtyC0IAumkZ5,2025-04-16 17:28:43,4.00,0.00,usd,true,4.00,0.00,usd,,Payment for invoice 000167,0.16,,SPARTY BOX,Paid,Payment complete.,0.00,card_1REZlPADru8LAtyCbu9J8sHp,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1REgwLADru8LAtyCJM6UpgFV,iPhone,DBM3y5pTClpRimE1VAVS,53d4698b-e5a4-4a33-bf79-97227b285be1,com.gohighlevel.reviews,3.95.5,725,18.3.1,KWgHgCxOyE8pjWo2Wk76,ios,67ffe8c6dba7a885dc0d5bf1,000167
ch_3REZFbADru8LAtyC1r19HvKa,2025-04-16 16:55:58,4.00,0.00,usd,true,4.00,0.00,usd,,Payment for invoice 000165,0.16,,SPARTY BOX,Paid,Payment complete.,0.00,card_1REZFhADru8LAtyC3GdYLUZt,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1REgwLADru8LAtyCJM6UpgFV,iPhone,DBM3y5pTClpRimE1VAVS,53d4698b-e5a4-4a33-bf79-97227b285be1,com.gohighlevel.reviews,3.95.5,725,18.3.1,KWgHgCxOyE8pjWo2Wk76,ios,67ffe116214432041d90efcc,000165
ch_3REEM8ADru8LAtyC0CRTNX6j,2025-04-15 18:37:16,4.00,0.00,usd,true,4.00,0.00,usd,,Payment for invoice 000164,0.16,,SPARTY BOX,Paid,Payment complete.,0.00,card_1REEMCADru8LAtyCaIdD4CAn,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1REKUiADru8LAtyCvfnvOKRj,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,67fea754175b5c95cea102d4,000164
ch_3REEIHADru8LAtyC1yDVaSDt,2025-04-15 18:33:18,4.00,0.00,usd,true,4.00,0.00,usd,,Payment for invoice 000160,0.16,,SPARTY BOX,Paid,Payment complete.,0.00,card_1REEILADru8LAtyCwgfMu90x,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1REKUiADru8LAtyCvfnvOKRj,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,67fea668f89ac56ec9e40493,000160
ch_3REC4CADru8LAtyC0KAyvDhM,2025-04-15 16:10:40,4.00,0.00,usd,true,4.00,0.00,usd,,Payment for invoice 000156,0.16,,SPARTY BOX,Paid,Payment complete.,0.00,card_1REC4JADru8LAtyCJSSUZQwT,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1REKUiADru8LAtyCvfnvOKRj,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,67fe84f7175b5c36a9a0f847,000156
ch_3RChWCADru8LAtyC0R6NRaCk,2025-04-11 13:21:20,2.00,0.00,usd,true,2.00,0.00,usd,,Payment for invoice 000154,0.10,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RChWFADru8LAtyCHh1rV8qJ,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RDbOsADru8LAtyCCqXvYUwL,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,67f9174bcf19913dbf083347,000154
ch_3RChVRADru8LAtyC0ScSoPUE,2025-04-11 13:20:33,5.00,0.00,usd,true,5.00,0.00,usd,,Payment for invoice 000153,0.19,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RChVVADru8LAtyC2X2v7w4s,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RDbOsADru8LAtyCCqXvYUwL,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,67f9171c5e9e9745561bf72e,000153
ch_3RChTNADru8LAtyC0ICFe0b9,2025-04-11 13:18:25,2.00,0.00,usd,true,2.00,0.00,usd,,Payment for invoice 000152,0.10,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RChTRADru8LAtyCZCcrZtWu,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RDbOsADru8LAtyCCqXvYUwL,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,67f9169c63c33b3b5136574f,000152
ch_3RChS6ADru8LAtyC0fJp7GdU,2025-04-11 13:17:09,3.00,0.00,usd,true,3.00,0.00,usd,,Payment for invoice 000151,0.13,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RChSDADru8LAtyCH64nFGKk,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RDbOsADru8LAtyCCqXvYUwL,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,67f9164dd7aa37f9a5e66597,000151
ch_3RChN3ADru8LAtyC0owaemzF,2025-04-11 13:12:09,4.00,0.00,usd,true,4.00,0.00,usd,,Payment for invoice 000148,0.16,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RChNNADru8LAtyCQuhisbIB,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RDbOsADru8LAtyCCqXvYUwL,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,67f915145e9e9725fa1bf6c6,000148
ch_3RCLAsADru8LAtyC1BwVROqu,2025-04-10 13:29:50,4.00,0.00,usd,true,4.00,0.00,usd,,Payment for invoice 000143,0.16,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RCLAwADru8LAtyCId8YnIc1,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RDFBNADru8LAtyCRMNMHKpJ,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,67f7c7c92c6c0a56562ce6ad,000143
ch_3RCLAGADru8LAtyC0c5b5kGy,2025-04-10 13:29:13,1.00,0.00,usd,true,1.00,0.00,usd,,Payment for invoice 000142,0.08,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RCLALADru8LAtyCOD7GDy2q,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RDFBNADru8LAtyCRMNMHKpJ,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,67f7c7a32c6c0ace1e2ce6aa,000142
ch_3RCL1rADru8LAtyC1QnHtCs8,2025-04-10 13:20:37,12.00,0.00,usd,true,12.00,0.00,usd,,Payment for invoice 000139,0.37,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RCL21ADru8LAtyCAC8P66yv,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RDFBNADru8LAtyCRMNMHKpJ,iPhone,DBM3y5pTClpRimE1VAVS,b886c4d6-3dc4-4057-8f18-05c89276deb6,com.gohighlevel.reviews,3.95.5,725,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,67f7c59ad7aa372963e5ac50,000139
